date,open,high,low,close
1517130000000,110.9002,111.1899,109.5,109.5
1517131800000,109.5001,110.55,108.5,110.3
1517133600000,110.2,110.299,109.0001,109.15
1517135400000,109.15,109.2119,108.0,108.0
1517137200000,108.09,110.0,107.71,108.22
1517139000000,108.12,109.9,108.12,108.9
1517140800000,108.9,109.4358,108.0,108.4996
1517142600000,108.4995,108.5,105.113,105.113
1517144400000,105.113,107.9989,105.113,107.18
1517146200000,107.2,107.8,106.65,106.8201
1517148000000,106.9999,107.7,106.2121,107.6001
1517149800000,107.6001,107.8999,107.1602,107.56
1517151600000,107.57,110.99,107.57,109.9
1517153400000,109.9799,109.9799,108.5,108.5003
1517155200000,108.5001,109.5,108.1,108.4005
1517157000000,108.45,108.988,108.303,108.3034
1517158800000,108.3999,108.588,108.0,108.0
1517160600000,108.0001,110.4,108.0,108.62
1517162400000,108.62,108.74,107.4,107.6
1517164200000,107.9879,108.2,107.4,107.75
1517166000000,107.73,108.4999,107.588,108.3
1517167800000,108.2,108.788,107.81,108.7879
1517169600000,108.6879,109.2,108.0,108.4
1517171400000,108.39,109.6,108.39,109.5
1517173200000,109.4,109.9333,109.28,109.5003
1517175000000,109.58,109.8999,109.18,109.8
1517176800000,109.8,110.699,109.6,109.99
1517178600000,110.0,110.3998,109.3001,109.7
1517180400000,109.6,109.7,108.5,108.9999
1517182200000,108.8998,110.1999,108.52,110.1
1517184000000,110.1999,110.5,109.1,109.2001
1517185800000,109.3001,109.8,109.0802,109.29
1517187600000,109.49,109.5,108.232,108.232
1517189400000,108.3,109.0,106.0,107.1
1517191200000,107.0001,107.6,105.113,106.6011
1517193000000,106.6011,107.2,106.12,107.0011
1517194800000,107.0001,107.2,105.32,106.1
1517196600000,106.1,106.3799,102.1212,104.9
1517198400000,104.9,105.7,103.0,103.0001
1517200200000,103.0,105.0,102.9261,104.68
1517202000000,104.805,109.405,103.22,105.9
1517203800000,105.7899,107.4,105.02,106.29
1517205600000,106.37,107.3,105.333,105.4101
1517207400000,105.333,105.7705,103.51,104.5
1517209200000,104.4,104.5,103.2,103.556
1517211000000,103.6,104.5,103.2,103.2
1517212800000,103.2,103.45,101.5,102.95
1517214600000,102.8898,103.908,102.4,102.4
1517216400000,102.4,103.7999,102.2,102.92
1517218200000,102.9997,104.4,102.9997,103.3899
1517220000000,103.37,105.0,103.11,104.01
1517221800000,104.0999,105.0,103.8,104.5005
1517223600000,104.5,104.7879,103.0,103.27
1517225400000,103.27,103.4,100.55,102.4999
1517227200000,102.0,102.8,100.1111,100.1111
1517229000000,100.19,101.9999,100.1001,101.8903
1517230800000,101.88,102.75,101.2,102.3
1517232600000,102.29,102.5,100.9,102.0
1517234400000,102.0,103.4999,102.0,102.86
1517236200000,102.85,103.4788,102.15,102.8887
1517238000000,102.5,102.9199,101.8001,102.0014
1517239800000,102.48,103.395,101.51,103.2999
1517241600000,103.3949,103.9,102.6025,103.5001
1517243400000,103.3,103.7,103.0,103.212
1517245200000,103.2999,103.41,102.218,102.415
1517247000000,102.4999,103.02,102.0,102.6
1517248800000,102.4,102.4999,101.5,102.0
1517250600000,102.0,102.5001,101.5002,102.4
1517252400000,102.3,102.4,101.9,102.15
1517254200000,102.1,102.4897,101.4946,101.71
1517256000000,101.69,102.1528,101.4991,101.85
1517257800000,101.9,102.0001,101.1,101.15
1517259600000,101.1998,101.2,100.456,100.635
1517261400000,100.501,101.1,100.501,101.0253
1517263200000,101.03,101.2,100.5,100.5002
1517265000000,100.8,100.8,98.5,98.789
1517266800000,98.9999,100.0001,98.2,98.312
1517268600000,98.3201,100.0,98.3103,99.943
1517270400000,99.999,100.0001,97.8,98.0
1517272200000,98.0,98.51,97.3,98.0001
1517274000000,98.0,98.0002,95.101,95.101
1517275800000,95.1996,95.1996,92.1501,93.2999
1517277600000,93.2001,95.5,93.0018,94.8
1517279400000,94.8899,95.9288,93.51,94.6002
1517281200000,94.5701,94.9103,92.01,92.1
1517283000000,92.504,95.6599,92.3,94.212
1517284800000,94.3978,97.2888,94.212,96.889
1517286600000,97.0,97.0,95.0,95.3998
1517288400000,95.012,95.5,94.11,95.5
1517290200000,95.5,96.51,95.29,95.35
1517292000000,95.35,96.0,94.91,95.73
1517293800000,95.73,96.0522,94.11,95.01
1517295600000,95.0101,95.8999,94.1,94.3
1517297400000,94.2999,94.6,93.5,94.0
1517299200000,94.0,94.9,93.5001,94.12
1517301000000,94.07,94.7899,94.07,94.7
1517302800000,94.8,94.9,92.5,93.5
1517304600000,93.5,93.9999,92.5,92.9989
1517306400000,92.9989,93.4,92.0,92.5
1517308200000,92.612,93.99,91.0,92.55
1517310000000,92.5402,92.9863,91.1002,92.85
1517311800000,92.8,93.85,92.35,93.5795
1517313600000,93.52,94.654,92.9999,93.92
1517315400000,93.95,93.9956,92.0,92.5154
1517317200000,92.6,92.9987,92.0,92.3888
1517319000000,92.3,92.38,90.0001,91.3
1517320800000,91.3,91.5001,90.301,91.0
1517322600000,90.812,92.3999,90.812,91.51
1517324400000,91.52,92.5,90.0,90.1
1517326200000,90.1,91.0,88.2001,88.812
1517328000000,88.5101,90.4211,88.3,89.5
1517329800000,89.5,90.0,88.3,88.8499
1517331600000,88.8,90.0,88.611,89.5
1517333400000,89.4998,89.5,88.1,88.1
1517335200000,88.1002,88.1002,85.0,86.5081
1517337000000,86.41,87.9014,84.0,84.5
1517338800000,84.5,87.6203,83.0001,85.98
1517340600000,85.98,89.5,85.4,87.2
1517342400000,87.2,87.3198,83.5001,84.1
1517344200000,84.1,86.612,84.0,86.1
1517346000000,85.7,86.1998,84.6722,85.3899
1517347800000,85.5,85.986,84.9202,85.5
1517349600000,85.0007,88.7,85.0005,88.1
1517351400000,87.8,88.699,86.11,87.0
1517353200000,87.012,87.5,83.6,84.0
1517355000000,84.45,85.8,81.6991,82.5
1517356800000,82.5,84.5,82.1027,82.8
1517358600000,82.812,83.0,82.3999,82.3999
1517360400000,82.05,82.3999,82.0,82.05
1517362200000,82.35,83.0,82.0,83.0
1517364000000,82.9999,84.0,82.0,83.0
1517365800000,83.6,83.6,82.0,83.6
1517367600000,83.6,85.0,82.3,82.5
1517369400000,82.396,83.5,82.2,82.8899
1517371200000,82.8,83.34,82.005,82.21
1517373000000,82.2,82.21,81.12,81.4
1517374800000,81.4,82.17,78.5,79.0
1517376600000,78.95,81.3,78.1456,79.4601
1517378400000,79.4986,79.5,76.1502,76.1502
1517380200000,76.5,79.5,76.0,78.5
1517382000000,78.014,83.0,77.8,82.0998
1517383800000,82.0999,82.2,80.38,81.9398
1517385600000,81.9398,84.15,81.84,82.5001
1517387400000,82.57,82.9,80.0,80.8999
1517389200000,80.8,80.8999,78.0001,79.7
1517391000000,79.7,79.875,78.1,78.8016
1517392800000,78.9999,79.98,78.72,79.3
1517394600000,79.2999,81.9,79.11,80.0
1517396400000,79.9999,80.5,78.55,79.0006
1517398200000,79.1999,81.4,78.85,80.5
1517400000000,80.3001,80.899,80.0297,80.899
1517401800000,80.8888,82.4998,80.7,81.7004
1517403600000,81.99,82.499,80.8,81.9
1517405400000,81.8002,82.3,80.6,80.626
1517407200000,80.6256,81.8,80.5,80.5383
1517409000000,80.5,80.71,78.6565,79.1
1517410800000,79.1,80.0,79.0012,79.4499
1517412600000,79.4499,79.4892,78.0,78.8
1517414400000,78.8,78.9899,77.349,78.02
1517416200000,78.1,79.1,78.02,78.7996
1517418000000,78.7996,79.0,78.3,79.0
1517419800000,78.98,80.87,78.98,79.41
1517421600000,79.4996,79.612,79.2001,79.6
1517423400000,79.598,80.42,79.2,79.55
1517425200000,79.62,79.9999,79.0302,79.5
1517427000000,79.5,80.0401,79.0511,79.8401
1517428800000,79.7999,80.0,79.5,79.89
1517430600000,79.9499,79.9998,79.7001,79.9998
1517432400000,79.9997,80.0,79.89,79.9998
1517434200000,79.9996,80.87,79.0,80.75
1517436000000,80.0486,80.8999,80.0101,80.8
1517437800000,80.6002,81.8688,80.6002,81.38
1517439600000,81.488,82.0,80.5001,81.65
1517441400000,81.65,83.2,81.55,83.2
1517443200000,83.2,85.0,83.2,85.0
